ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
179,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
149,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
169,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
61,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
214,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
414,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
196,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
37,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
164,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
116,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
181,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
353,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
88,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
17,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
106,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
360,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
373,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
376,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
426,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
112,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
296,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
49,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
265,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
389,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
